ano,mes,sigla_uf,ddd,tecnologia,sinal,acessos
2009,3,MG,31,WCDMA,3G,20780
2009,3,MG,32,Dados > 256kbps,3G,8137
2009,3,MG,32,Dados até 256kbps,2G,3792
2009,3,MG,32,GSM,2G,1417981
2009,3,MG,32,TDMA,2G,42299
2009,3,MG,32,WCDMA,3G,421
2009,3,MG,33,Dados > 256kbps,3G,3515
2009,3,MG,33,Dados até 256kbps,2G,1074
2009,3,MG,33,GSM,2G,1105724
2009,3,MG,33,TDMA,2G,33239
2009,3,MG,33,WCDMA,3G,455
2009,3,MG,34,AMPS,1G,207
2009,3,MG,34,Dados > 256kbps,3G,3481
2009,3,MG,34,Dados até 256kbps,2G,25933
2009,3,MG,34,GSM,2G,1898696
2009,3,MG,34,TDMA,2G,40107
2009,3,MG,34,WCDMA,3G,1156
2009,3,MG,35,AMPS,1G,3
2009,3,MG,35,Dados > 256kbps,3G,8013
2009,3,MG,35,Dados até 256kbps,2G,3467
2009,3,MG,35,GSM,2G,1991246
2009,3,MG,35,TDMA,2G,80034
2009,3,MG,35,WCDMA,3G,1960
2009,3,MG,37,AMPS,1G,10
2009,3,MG,37,Dados > 256kbps,3G,3634
2009,3,MG,37,Dados até 256kbps,2G,3743
2009,3,MG,37,GSM,2G,1029606
2009,3,MG,37,TDMA,2G,53232
2009,3,MG,37,WCDMA,3G,181
2009,3,MG,38,Dados > 256kbps,3G,4377
2009,3,MG,38,Dados até 256kbps,2G,2750
